18;256,3886;243,8079;240,5093;159,0502;146,4694;18,78057;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;270;74;71;0;0;0;71;0;0;0;0;0;0;0;0;0;0;0;721,6;750,5;0,01;0;1,25;0,03;0;0,02;0,01;0;0,01;0,01;0,01;0,01;0,01;0;0,01;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;239;
19;261,8887;248,9005;246,1227;164,5502;151,562;19,2607;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;269;74;71;0;0;0;71;0;0;0;0;0;0;0;0;0;0;0;721,6;750,4;0,01;0;1,23;0,03;0;0,01;0;0;0,01;0,01;0;0,02;0,02;0;0,01;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;249;
20;267,3887;254,3403;250,7523;170,0502;157,0018;19,57481;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;270;74;71;0;0;0;71;0;0;0;0;0;0;0;0;0;0;0;721,6;750,5;0,01;0;1,24;0,03;0;0,01;0;0;0,01;0;0,01;0,01;0,01;0;0,01;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;259;
21;274,5894;259,4329;256,3657;177,2509;162,0944;20,37886;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;269;74;71;0;0;0;71;0;0;0;0;0;0;0;0;0;0;0;721,6;750,5;0,01;0;1,25;0,03;0;0,01;0,01;0;0,01;0,01;0,01;0,02;0,02;0;0,01;0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;269;
22;297,0895;268,6342;264,3518;199,751;171,2958;22,99077;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;269;74;71;0;0;0;71;0;0;0;0;0;0;0;0;0;0;0;721,7;750,5;0,01;0;1,24;0,03;0;0;0;0;0,01;0;0;0,01;0,01;0;0,01;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;279;
23;319,5896;283,7384;280,2662;222,2511;186,3999;24,91534;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;269;75;72;0;0;0;72;0;0;0;0;0;0;0;0;0;0;0;721,6;750,5;0,01;0;1,24;0,02;0;0;0;0;0,02;0;0;0,02;0,01;0;0,02;0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;289;
24;342,0897;303,0092;299,2477;244,7512;205,6708;26,50544;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;269;75;72;0;0;0;72;0;0;0;0;0;0;0;0;0;0;0;721,6;750,5;0,01;0;1,26;0,02;0;0,01;0;0;0,02;0;0,01;0,02;0,01;0;0,02;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;299;
25;364,5897;322,4537;319,4444;267,2512;225,1152;27,78143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;269;75;72;0;0;0;72;0;0;0;0;0;0;0;0;0;0;0;721,6;750,4;0,01;0;1,26;0,03;0;0,02;0;0,01;0,02;0,01;0,01;0,01;0,01;0;0,02;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;309;
26;387,0898;345,9491;342,419;289,7513;248,6106;29,28689;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;269;75;72;0;0;0;72;0;0;0;0;0;0;0;0;0;0;0;721,7;750,4;0;0;1,26;0,03;0;0,01;0;0;0,02;0,02;0;0,01;0,02;0;0,02;0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;319;
27;409,5899;369,3866;366,1458;312,2514;272,0481;30,23329;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;269;75;72;0;0;0;72;0;0;0;0;0;0;0;0;0;0;0;721,6;750,4;0,01;0;1,26;0,03;0;0;0;0;0,01;0;0;0,02;0,02;0;0,01;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;329;
