28;432,09;392,1875;389,5255;334,7515;294,849;31,46347;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;269;75;72;0;0;0;72;0;0;0;0;0;0;0;0;0;0;0;721,7;750,4;0,01;0;1,25;0,03;0;0;0;0,01;0,01;0,01;0,01;0,02;0,02;0;0,01;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;339;
29;454,5901;412,5;409,4329;357,2516;315,1615;33,07734;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;269;75;72;0;0;0;72;0;0;0;0;0;0;0;0;0;0;0;721,7;750,4;0,01;0,01;1,28;0,03;0;0,01;0;0;0,01;0;0;0,02;0,02;0;0;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;349;
30;477,0901;432,3495;429,3981;379,7516;335,011;34,41549;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;269;75;72;0;0;0;72;0;0;0;0;0;0;0;0;0;0;0;721,6;750,4;0,01;0;1,28;0,03;0;0,02;0;0;0,02;0,01;0,01;0,02;0,02;0;0,01;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;359;
31;499,3401;455,6134;453,2407;402,0016;358,275;35,61519;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;269;75;72;0;0;0;72;0;0;0;0;0;0;0;0;0;0;0;721,7;750,5;0,01;0;1,26;0,03;0;0;0;0;0,01;0,01;0;0,02;0,02;0;0,01;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;369;
32;519,3401;478,2986;475,463;422,0016;380,9601;36,49455;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;269;75;72;0;0;0;72;0;0;0;0;0;0;0;0;0;0;0;721,6;750,3;0,01;0;1,26;0,03;0;0,01;0;0;0,01;0,01;0;0,02;0,02;0;0,01;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;379;
33;539,3401;499,8264;496,7014;442,0016;402,4879;37,83355;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;270;75;72;0;0;0;72;0;0;0;0;0;0;0;0;0;0;0;721,7;750,3;0;0;1,26;0,03;0,01;0;0;0;0,02;0;0;0,01;0,02;0;0,01;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;389;
34;559,3398;521,7014;517,7662;462,0013;424,3629;38,7243;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;270;74;71;0;0;0;71;0;0;0;0;0;0;0;0;0;0;0;721,6;750,2;0,01;0;1,25;0,02;0;0,01;0;0;0,01;0,01;0;0,01;0,02;0;0,02;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;399;
35;579,3395;542,1296;538,8889;482,001;444,7911;39,76819;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;271;74;71;0;0;0;71;0;0;0;0;0;0;0;0;0;0;0;721,7;750,1;0,01;0;1,26;0,02;0;0,01;0;0;0,02;0,01;0;0,02;0,01;0;0,01;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;409;
36;599,3392;561,8055;558,912;502,0007;464,467;40,95776;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;272;73;70;0;0;0;70;0;0;0;0;0;0;0;0;0;0;0;721,7;750,2;0,01;0,01;1,28;0,02;0;0,01;0;0;0,01;0;0;0,03;0,02;0;0,01;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;419;
37;619,3389;582,2338;578,125;522,0004;484,8953;42,23787;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;273;72;69;0;0;0;69;0;0;0;0;0;0;0;0;0;0;0;721,7;750,1;0,01;0,01;1,27;0,02;0;0,01;0;0,01;0,02;0;0,01;0,03;0,01;0;0,01;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;429;
38;639,3386;602,3727;599,2477;542,0001;505,0342;43,13836;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;274;71;68;0;0;0;68;0;0;0;0;0;0;0;0;0;0;0;721,6;750;0,01;0;1,28;0,03;0;0,01;0;0,01;0,01;0;0;0,02;0,02;0;0,01;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;439;
39;659,3383;621,0648;618,6343;561,9998;523,7263;44,31429;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;276;70;67;0;0;0;67;0;0;0;0;0;0;0;0;0;0;0;721,7;750;0,01;0;1,24;0,02;0;0,01;0;0,01;0,01;0;0;0,03;0,01;0;0,01;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;449;
40;679,338;641,0301;637,6736;581,9995;543,6916;45,5656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;277;68;66;0;0;0;66;0;0;0;0;0;0;0;0;0;0;0;721,7;749,9;0,01;0;1,24;0,02;0;0,01;0;0,01;0,02;0,01;0,01;0,02;0,02;0;0,02;0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;459;
41;697,3385;660,5324;656,4236;600;563,1939;46,50447;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;279;66;65;0;0;0;65;0;0;0;0;0;0;0;0;0;0;0;721,7;749,9;0,01;0;1,24;0,03;0;0,01;0;0;0,02;0;0;0,01;0,01;0;0,02;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;469;
42;697,3385;678,4722;675,2894;600;581,1337;44,9889;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;280;65;64;0;0;0;64;0;0;0;0;0;0;0;0;0;0;0;721,6;749,9;0,01;0;1,24;0,03;0;0,01;0,01;0;0,01;0;0;0,01;0,01;0;0,02;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;479;
43;697,3385;685,9954;683,1019;600;588,6569;44,24529;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;282;63;62;0;0;0;62;0;0;0;0;0;0;0;0;0;0;0;721,7;749,9;0,01;0;1,24;0,02;0;0,01;0;0;0,01;0;0,01;0,02;0,02;0;0,01;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;489;
44;697,3385;690,625;688,4838;600;593,2865;43,89064;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;283;61;61;0;0;0;61;0;0;0;0;0;0;0;0;0;0;0;721,6;749,9;0,01;0;1,25;0,03;0;0,02;0;0,01;0;0,01;0;0,01;0,02;0;0;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;499;
45;697,3385;693,3449;690,0463;600;596,0064;43,71971;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;285;59;59;0;0;0;59;0;0;0;0;0;0;0;0;0;0;0;721,7;749,7;0,01;0;1,24;0,03;0;0,02;0;0;0,01;0,01;0;0,01;0,02;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;509;
46;697,3385;694,213;690,8565;600;596,8745;43,73477;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;287;57;58;0;0;0;58;0;0;0;0;0;0;0;0;0;0;0;721,6;749,7;0,01;0;1,24;0,03;0;0,01;0;0;0;0;0;0,03;0,02;0;0;0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;519;
47;697,3385;693,8079;690,7408;600;596,4694;43,90055;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;289;54;56;0;0;0;56;0;0;0;0;0;0;0;0;0;0;0;721,6;749,6;0,01;0;1,25;0,03;0;0,02;0;0;0,02;0;0;0,02;0,02;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;529;
48;697,3385;693,4028;691,1459;600;596,0643;44,02528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;291;53;55;0;0;0;55;0;0;0;0;0;0;0;0;0;0;0;721,8;749,7;0,02;0;1,24;0,03;0;0,01;0;0;0,02;0;0;0,01;0;0;0,01;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;539;
49;697,3385;693,4606;690,6829;600;596,1221;44,07428;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;293;51;53;0;0;0;53;0;0;0;0;0;0;0;0;0;0;0;721,7;749,6;0,01;0,01;1,24;0,03;0;0;0,01;0;0,03;0,01;0;0,02;0,01;0;0,02;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;549;
50;697,3385;694,8495;690,8565;600;597,511;44,16633;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;294;48;52;0;0;0;52;0;0;0;0;0;0;0;0;0;0;0;721,7;749,6;0,01;0;1,24;0,03;0;0,01;0,01;0;0,02;0;0;0,01;0,01;0;0,02;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;559;
51;697,3385;694,7917;691,9561;600;597,4532;44,14069;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;296;47;50;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;721,7;749,4;0;0;1,24;0,01;0;0,02;0;0;0,01;0;0;0,01;0,02;0;0,02;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;569;
52;697,3385;694,9653;691,8982;600;597,6268;44,10476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;298;45;49;0;0;0;49;0;0;0;0;0;0;0;0;0;0;0;721,7;749,4;0,01;0;1,23;0,03;0;0,01;0;0,01;0,01;0,01;0;0,02;0,01;0;0,01;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;579;
53;697,3385;695,1389;692,0139;600;597,8004;44,15158;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;299;43;48;0;0;0;48;0;0;0;0;0;0;0;0;0;0;0;721,7;749,4;0,01;0;1,24;0,03;0;0,01;0;0;0,01;0,01;0;0,02;0,02;0;0;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;589;
54;697,3385;695,1968;692,2454;600;597,8583;44,28526;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;301;42;46;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;721,7;749,5;0,01;0;1,24;0,03;0;0;0;0;0,01;0,01;0;0,02;0,02;0;0;0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;599;
55;697,3385;695,9491;692,2454;600;598,6106;44,29088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;302;40;45;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;721,7;749,5;0;0;1,23;0,03;0;0,01;0;0;0,01;0;0;0,02;0,02;0;0,01;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;609;
56;697,3385;695,7176;692,6505;600;598,3791;44,31847;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;304;39;43;0;0;0;43;0;0;0;0;0;0;0;0;0;0;0;721,8;749,5;0,01;0;1,25;0,03;0;0;0,01;0,01;0,02;0;0;0,02;0,02;0;0,01;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;619;
57;697,3385;696,007;692,9977;600;598,6685;44,30737;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;305;38;42;0;0;0;42;0;0;0;0;0;0;0;0;0;0;0;721,6;749,4;0,01;0;1,27;0,02;0;0,01;0;0;0,01;0,01;0;0,02;0,02;0;0,01;0,04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;629;
58;697,3385;696,007;692,882;600;598,6685;44,40343;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;306;37;41;0;0;0;41;0;0;0;0;0;0;0;0;0;0;0;721,6;749,5;0,01;0;1,27;0,02;0;0,01;0;0;0,02;0;0,01;0,01;0,02;0;0,01;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;639;
59;697,3385;696,1227;693,3449;600;598,7842;44,30071;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;307;36;40;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;721,7;749,3;0,01;0;1,25;0,03;0;0,02;0;0;0,01;0;0;0,01;0,02;0;0,01;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;649;
60;697,3385;696,1227;693,6921;600;598,7842;44,39202;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;308;35;39;0;0;0;39;0;0;0;0;0;0;0;0;0;0;0;721,6;749,5;0,01;0;1,26;0,02;0;0,02;0;0;0,01;0;0;0,02;0,02;0;0,01;0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;659;
61;697,3385;696,1227;693,8079;600;598,7842;44,35182;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;309;35;38;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0;721,7;749,5;0;0,01;1,26;0,03;0;0,01;0;0;0,01;0,01;0;0,03;0,02;0;0,01;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;669;
62;697,3385;696,875;693,75;600;599,5365;44,32408;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;310;34;37;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;721,7;749,4;0,01;0;1,26;0,03;0;0,01;0;0;0,01;0;0;0,02;0,02;0;0,01;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;679;
63;697,3385;696,7593;693,9236;600;599,4208;44,33129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;311;34;36;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;721,7;749,4;0,01;0,01;1,26;0,02;0;0,01;0;0;0,02;0,01;0;0,03;0,02;0;0,01;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;689;
64;697,3385;696,8171;693,8079;600;599,4786;44,36224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;312;33;35;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;721,6;749,3;0,01;0;1,24;0,03;0;0,01;0;0,01;0,02;0;0,01;0,02;0,02;0;0,01;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;699;
65;697,3385;697,743;693,4607;600;600,4045;44,35983;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;312;33;35;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;721,8;749,4;0,01;0;1,24;0,02;0;0,01;0,01;0;0,02;0;0;0,02;0,01;0;0,03;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;709;
66;697,3385;697,6852;694,213;600;600,3467;44,33768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;313;32;34;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0;721,7;749,4;0,01;0;1,23;0,02;0;0,01;0;0;0,02;0;0;0,02;0,01;0;0,02;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;719;
67;697,3385;697,6852;693,4607;600;600,3467;44,32475;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;314;32;33;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;721,7;749,4;0,01;0,01;1,24;0,02;0;0,02;0;0;0,01;0;0;0,02;0,02;0;0,01;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;729;
68;697,3385;697,743;693,9815;600;600,4045;44,36949;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;314;32;33;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;721,8;749,5;0,01;0;1,24;0,02;0;0,01;0;0;0,01;0;0;0,02;0,01;0;0,01;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;739;
69;697,3385;696,8171;693,5186;600;599,4786;44,35186;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;315;32;32;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;721,7;749,3;0,01;0;1,24;0,02;0;0,01;0,01;0;0,01;0,01;0;0,02;0,02;0;0;0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;749;
70;697,3385;697,8588;694,3866;600;600,5203;44,29044;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;316;32;32;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;721,7;749,3;0,01;0;1,23;0,03;0;0,01;0;0;0;0;0;0,01;0,02;0;0,01;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;759;
71;697,3385;696,5856;693,75;600;599,2471;44,38558;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;316;31;32;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;721,7;749,3;0,01;0;1,24;0,03;0;0,02;0;0,01;0,02;0,01;0;0,02;0,01;0;0;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;769;
72;697,3385;697,1644;693,5764;600;599,8259;44,37347;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;316;31;31;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;721,7;749,4;0,01;0;1,26;0,02;0;0,01;0;0;0,02;0;0;0,02;0,02;0;0,01;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;779;
73;697,3385;696,9907;694,5023;600;599,6522;44,4147;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;317;31;31;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;721,6;749,3;0;0,01;1,26;0,03;0;0;0;0;0,02;0,01;0;0,02;0,03;0;0,01;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;789;
74;697,3385;697,338;694,0972;600;599,9995;44,35194;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;317;31;31;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;721,7;749,4;0;0;1,26;0,02;0;0,02;0;0,01;0,02;0;0;0,02;0,01;0;0,01;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;799;
